Title,Category,Language,Release_Year
RRR,Action,Telugu,2022
Pathaan,Action,Hindi,2023
Jawan,Action,Hindi,2023
Kantara,Action,Kannada,2022
Thunivu,Action,Tamil,2023
KGF Chapter 2,Action,Kannada,2022
Major,Action,Hindi,2022
Drishyam 2,Thriller,Malayalam,2021
Forensic,Thriller,Malayalam,2022
Vikram Vedha,Thriller,Tamil,2022
Kabzaa,Action,Kannada,2023
Cobra,Action,Tamil,2022
Gangubai,Drama,Hindi,2022
Gangubai 2,Drama,Hindi,2023
The Kerala Story,Drama,Hindi,2023
Soorarai Pottru,Drama,Tamil,2020
Ante Sundaraniki,Drama,Telugu,2022
Yashoda,Thriller,Telugu,2022
Bhool Bhulaiyaa 2,Horror,Hindi,2022
Bhool Bhulaiyaa 3,Horror,Hindi,2023
Stree,Horror,Hindi,2018
Tumbbad,Horror,Hindi,2018
Doctor,Action,Tamil,2021
Beast,Action,Tamil,2022
Liger,Action,Hindi,2022
Adipurush,Action,Hindi,2023
Ponniyin Selvan,Drama,Tamil,2022
Ponniyin Selvan 2,Drama,Tamil,2023
Karthikeya 2,Action,Telugu,2022
Radhe Shyam,Action,Telugu,2022
Sita Ramam,Drama,Telugu,2022
Jersey,Sports,Tamil,2022
Gold,Sports,Hindi,2022
Sarileru Neekevvaru,Action,Telugu,2020
Master,Action,Tamil,2021
Bimbisara,Action,Telugu,2022
Virata Parvam,Drama,Telugu,2022
Godfather,Action,Telugu,2022
Gumraah,Action,Hindi,2023
12th Fail,Drama,Hindi,2023
Shehzada,Action,Hindi,2023
Pichaikkaran 2,Action,Tamil,2023
Roberrt,Action,Kannada,2021
Ponniyin Selvan 3,Drama,Tamil,2023
Bhajarangi 2,Action,Kannada,2021
Bharaate,Action,Kannada,2019
Hit 2,Thriller,Telugu,2022
Masooda,Horror,Telugu,2022
Virupaksha,Horror,Telugu,2023
